"productDisplayName","publisherDisplayName","versionDisplayName"
"Logitech Presentation","Logitech","2.10.34"
"Beyond Identity","Beyond Identity","2.102.0.6"
"CloudCompare","Daniel Girardeau-Montaut","2.13.2"
"Konnekt","glueckkanja-gab AG","2.11.1.0"
"DataGrip 2021.3","JetBrains","2021.3.4"
"Draftable Desktop","Draftable","25.6.100"
"Chef Workstation for Windows","Chef Software, Inc.","25.5.1084"
"Project Viewer 365","Viewer Central","25.8.1280"
"draw.io Desktop","draw.io","27.0.9"
"Oh My Posh","Jan de Dobbeleer","26.13.0"
"Turbo Studio","Turbo","25.3.4"
"Citrix Workspace app","Citrix","25.3.2.196"
"Wind Financial Terminal","Wind Information Co., Ltd","25.4.0"
"Symphony Desktop Application","Symphony Communication Services, LLC","25.5.0.2827"
"Cloudflare WARP","Cloudflare, Inc.","25.4.943.0"
"Ibis Calculeren voor Infra","Brink Software B.V.","3.0.2505.11301"
"Ibis Calculeren voor Bouw","Brink Software B.V.","3.0.2505.10701"
"TDP SecureAnyBox Agent","TDP s.r.o.","3.0.3.0"
"GIMP","GIMP","3.0.4.0"
"LiquidFiles Outlook Plugin","LiquidFiles Pty Ltd","3.0.33"
"Storyboarder","Wonder Unit Inc.","3.0.0"
"Sysprogs SmarTTY","Sysprogs","3.0"
"Administrative Templates (ADMX) for Windows 10","Microsoft","3.0.0"
"Pexip","Cloud Video","3.0.14"
"Blender","Blender Foundation","3.0.1"
"RingCentral App","RingCentral","25.2.3011.780"
"The Document Foundation LibreOffice 24 Help Pack","The Document Foundation","24.8.7.2"
"UEStudio","IDM Computer Solutions","24.3.13"
"The Document Foundation LibreOffice 24","The Document Foundation","24.8.7.2"
"4K Video Downloader+","InterPromo GMBH","25.0.4"
"PRTG Desktop","Paessler AG","25.0.0"
"Citrix Workspace app LTSR","Citrix","24.2.3001.9"
"PaperCut NG","PaperCut Software Pty Ltd","24.1.5.71849"
"The Document Foundation LibreOffice 24 Help Pack","The Document Foundation","24.2.7.2"
"RingCentral Phone","RingCentral","24.3.0.47527"
"The Document Foundation LibreOffice 24","The Document Foundation","24.2.7.2"
"Turbo.net Desktop","Turbo.net","25.1.19.1661"
"DBeaver Community","DBeaver Corp","25.1.1"
"exacqVision Client","Exacq Technologies","25.1.4.0"
"DbVisualizer","DbVis Software AB","25.2"
"Stellarium","Stellarium Developers","25.2"
"DBeaver Enterprise","DBeaver Corp","25.1.0"
"Shotcut","Shotcut","25.01.25"
"DBeaver Ultimate","DBeaver Corp","25.1.0"
"PrinterLogic Printer Installer Client","PrinterLogic","25.1.0.1168"
"DBeaver Lite","DBeaver Corp","25.1.0"
"VEXcode IQ 3","VEX Robotics","3.0.4.1"
"TurboVNC","The VirtualGL Project","3.2"
"Teracopy for Windows","Code Sector","3.17"
"Squirrels Reflector 3","Squirrels","3.2.0"
"Blender","Blender Foundation","3.2.2"
"SolarWinds Orion SDK","SolarWinds","3.2.0.50049"
"ocenaudio","ocenaudio","3.15.1"
"VideoScribe","Sparkol","3.14.2"
"Amazon AWS Tools for Windows","Amazon Web Services Developer Relations","3.15.2304"
"Nextcloud","Nextcloud","3.16.6.20250618"
"Nagstamon","Henri Wahl","3.16.2"
"CMake","2BrightSparks Ptd Ltd","3.23.5"
"CMake","2BrightSparks Ptd Ltd","3.22.6"
"CMake","2BrightSparks Ptd Ltd","3.24.4"
"Egnyte Connect Desktop App","Egnyte, Inc.","3.26.2.164"
"CMake","2BrightSparks Ptd Ltd","3.25.3"
"TSPrint Client","Terminalworks","3.2.3.13"
"GnuPG VS-Desktop","g10 Code GmbH","3.2.2.0"
"Xink Client AD","Xink","3.2.41"
"CMake","2BrightSparks Ptd Ltd","3.21.7"
"CMake","2BrightSparks Ptd Ltd","3.20.6"
"WiX Toolset 3","WiX Toolset","3.14"
"Saola Animate","Atomi Systems, Inc.","3.1.4"
"NCPA","Nagios Enterprises","3.1.3"
"Topaz SigPlusExtLite","Topaz Systems, Inc.","3.1.6.0"
"ASUS Remote Drive","Asus","3.10.0.70"
"Aircall for desktop","Aircall","3.1.66.14840"
"OpenDNS Umbrella Roaming Client","OpenDNS","3.0.466"
"VEXcode V5","VEX Robotics","3.0.4.3"
"ArcticLine Software Jet Screenshot","ArcticLine Software","3.1"
"Microsoft Purview Information Protection client","Microsoft","3.1.251.0"
"Blender","Blender Foundation","3.1.2"
"PrivadoVPN","Privado Networks AG","3.13.0.0"
"Python 3.12","Python Software Foundation","3.12.10150.0"
"Unity Hub","Unity Technologies ApS","3.13.0.0"
"Python 3.13","Python Software Foundation","3.13.5"
"DB Browser for SQLite","DB Browser for SQLite Team","3.13.1"
"Logi Tune","Logitech","3.10.120.0"
"Python 3.10","Python Software Foundation","3.10.11150.0"
"ScreenCloud Player","ScreenCloud","3.10.3"
"Python 3.11","Python Software Foundation","3.11.9150.0"
"Liquit Workspace Agent 3","Liquit Software B.V.","3.10.3573.5871"
"Araxis Merge","Araxis","2025.0"
"Foxit PDF Editor 2024","Foxit Software","2024.4.1.27687"
"TeamCity","JetBrains","2025.03.2"
"Foxit PDF Reader","Foxit Software","2025.1.0.27937"
"RadiAnt DICOM viewer","Medixant","2025.1"
"JetBrains dotUltimate","JetBrains","2024.1.7"
"Rstudio 2024","RStudio","2024.09.1.394"
"Rstudio 2024","RStudio","2024.12.1.563"
"Snagit 2024","TechSmith Corporation","2024.3.2"
"KeyShot Studio","KeyShot","2024.3.1"
"Devolutions Workspace","Devolutions inc","2025.2.1.0"
"XenCenter","Cloud Software Group, Inc.","2025.2.1"
"Devolutions Launcher","Devolutions inc","2025.2.17.0"
"Devolutions Remote Desktop Manager Agent","Devolutions inc","2025.2.17.0"
"Devolutions Remote Desktop Manager","Devolutions inc","2025.2.17.0"
"NV Access NVDA","NV Access Limited","2025.1.2"
"NETworkManager","NETworkManager","2025.1.18.0"
"ReluxDesktop","Relux Informatik AG","2025.1.6.0"
"VariCAD","VariCAD","2025.2.01"
"VariCAD Viewer","VariCAD","2025.2.01"
"PDF Studio","Qoppa Software","2024.0.1.0"
"DataGrip 2022.2","JetBrains","2022.2.5"
"Webstorm 2022.2","JetBrains","2022.2.5"
"GoLand 2022.2","JetBrains","2022.2.6"
"Tableau Desktop 2022","Tableau Software Inc","2022.3.22"
"Android Studio 2022","Android","2022.3.1.22"
"RStudio 2022","RStudio","2022.02.5.503"
"Snagit 2021","TechSmith Corporation","2021.4.7"
"RStudio 2022","RStudio","2022.07.3.585"
"RStudio 2022","RStudio","2022.12.0.353"
"Waterfox Classic","Waterfox","2022.11"
"Snagit 2023","TechSmith Corporation","2023.2.6"
"RStudio 2023","RStudio","2023.12.1.402"
"Geomilieu","Informatiepunt Leefomgeving","2024.0.0"
"PDF Studio Viewer","Qoppa Software","2024.0.1"
"PDF Studio","Qoppa Software","2024.0.1"
"Altova XMLSpy Enterprise 2023","Altova","2023.02.00.04"
"Tableau Desktop 2022","Tableau Software Inc","2022.4.20"
"RStudio 2023","RStudio","2023.03.2.454"
"JetBrains ReSharper 2023.1","JetBrains","2023.1.7"
"RStudio 2023","RStudio","2023.09.1.494"
"JAWS 2025","Freedom Scientific","2025.2412.50.400"
"Oracle Java SE Development Kit 23","Oracle","23.0.2.0"
"Caphyon Advanced Installer","Caphyon","22.8"
"Eclipse Temurin JRE with Hotspot 23","Eclipse Foundation","23.0.2.7"
"UltraFTP","IDM Computer Solutions","23.0.36"
"Eclipse Temurin JDK with Hotspot 23","Eclipse Foundation","23.0.2.7"
"PaperCut MF","PaperCut Software Pty Ltd","22.1.5.68857"
"IBM Semeru Runtime Open Edition JDK 22","Semeru","22.0.2.9"
"PaperCut NG","PaperCut Software Pty Ltd","22.1.5.68858"
"Project Plan 365","Housatonic","22.37.1188"
"Node.js 22 LTS","Node.js Foundation","22.17.0"
"TELUS Business Connect Phone","Telus","24.1.3.46833"
"7-Zip","Igor Pavlov","24.09"
"PaperCut MF","PaperCut Software Pty Ltd","24.1.3.71485"
"PaperCut MF","PaperCut Software Pty Ltd","24.1.5.71847"
"UltraCompare","IDM Computer Solutions","24.1.5"
"PaperCut NG","PaperCut Software Pty Ltd","23.0.9.69406"
"PaperCut MF","PaperCut Software Pty Ltd","23.0.9.69402"
"UltraFinder","IDM Computer Solutions","24.0.14"
"Amazon DCV Client","NICE Software","24.0.9254.0"
"Sketchup Pro 2024","Trimble Navigation Limited","24.0.594.0"
"IBM Semeru Runtime Open Edition JRE 22","Semeru","22.0.2.9"
"Eclipse Temurin JDK with Hotspot 21","Eclipse Foundation","21.0.7.6"
"PaperCut NG","PaperCut Software Pty Ltd","21.0.5.57929"
"OpenJDK 21","Microsoft","21.0.7.6"
"Red Hat OpenJDK","Red Hat","21.0070.6.1"
"Red Hat OpenJDK JRE","Red Hat","21.0070.6.1"
"Burp Suite Professional Edition","PortSwigger","2025.6.2"
"Fusion 2025","Freedom Scientific","2025.2503.3.400"
"Burp Suite Community Edition","PortSwigger","2025.6.2"
"PaperCut MF","PaperCut Software Pty Ltd","21.0.5.57928"
"Lens Desktop","Mirantis, Inc","2025.6.21515"
"Node.js 21","Node.js Foundation","21.7.3"
"Zoom Player","Inmatrix","21.4"
"Allway Sync","Botkind, Inc.","22.0.1"
"Eclipse Temurin JRE with Hotspot 22","Eclipse Foundation","22.0.2.9"
"Eclipse Temurin JDK with Hotspot 22","Eclipse Foundation","22.0.2.9"
"PaperCut MF","PaperCut Software Pty Ltd","21.1.3.58758"
"PaperCut NG","PaperCut Software Pty Ltd","21.1.3.58757"
"PaperCut MF","PaperCut Software Pty Ltd","21.2.14.68863"
"Zoom Player Max","Inmatrix","21.4"
"PaperCut NG","PaperCut Software Pty Ltd","21.2.14.68865"
"Microsoft Visual Studio 2022 Professional","Microsoft","17.8.36129.11"
"Microsoft Remote Desktop WebRTC Redirector","Microsoft","1.54.2408.19001"
"Microsoft Azure Connected Machine Agent","Microsoft","1.53.03069.2298"
"Dell Display Manager","Dell, Inc.","1.56.2110"
"Garden Gnome Package Viewer","Garden Gnome GmbH","1.6.1"
"HWMonitor","CPUID, Inc","1.58"
"Signiant App","Signiant Inc.","1.5.1773"
"Chatbox","Benn Huang","1.5.1"
"Microsoft Windows Admin Center","Microsoft","1.5.24289.0"
"Krisp","Krisp","1.52.5"
"Microsoft Azure Data Studio","Microsoft","1.52.0"
"Dell Peripheral Manager","Dell, Inc.","1.7.7"
"REV Hardware Client","REV Robotics","1.7.5"
"Obsidian","Obsidian","1.8.10"
"Red Hat OpenJDK","Red Hat","1.8.4521.9"
"HP Client Management Script Library","HP","1.8.2"
"Talkdesk","Talkdesk, Inc.","1.6.3.1974"
"Kodu Game Lab","Kodu","1.6.18"
"UltraVNC","UltraVNC","1.6.4.0"
"New Relic Infrastructure Agent","New Relic, Inc.","1.65.1"
"BrightAuthor connected","BrightSign LLC","1.63.2"
"DYMO ID","DYMO","1.5.1"
"Zscaler Client Connector for VDI","Zscaler","1.4.0.8"
"RustDesk","PURSLANE","1.4.0"
"voidtools Everything Lite","voidtools","1.4.1.1028"
"RStudio 1.4","RStudio","1.4.1743"
"voidtools Everything","voidtools","1.4.1.1028"
"LogMeIn Client","LogMeIn","1.3.5653"
"Fuzzy Lookup Add-In For Excel","Microsoft","1.3.0.0"
"RenderDoc","Baldur Karlsson","1.37"
"Inkscape","Inkscape","1.4"
"Microsoft Azure Storage Explorer","Microsoft","1.39.0"
"MongoDB Compass","MongoDB Inc.","1.46.4"
"KeePass Password Safe (Classic Edition)","Dominik Reichl","1.43"
"MongoDB Compass Isolated Edition","MongoDB Inc.","1.46.4"
"Mocha TN3812","MochaSoft Aps","1.5"
"MongoDB Compass Readonly Edition","MongoDB Inc.","1.46.4"
"Robo 3T","3T Software Labs Ltd","1.4.4"
"Genesys Cloud Background Assistant","Genesys","1.4.266"
"Horizon Collaborate","Gamma Telecom Ltd","1.41.0"
"Plex Media Server","Plex","1.41.8.9834"
"Amazon AWS Command Line Interface","Amazon Web Services Developer Relations","1.41.0"
"XnSoft XnView MP","XnSoft","1.8.6.0"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 2004","Microsoft","10.1.19041.1"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1903","Microsoft","10.1.18362.1"
"ESET Endpoint Antivirus V10","ESET","10.1.2065.0"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 11","Microsoft","10.1.22000.1"
"Microsoft Windows PE add-on for ADK for Windows 11","Microsoft","10.1.22000.1"
"Foxit PhantomPDF Pro 10","Foxit Software","10.1.12.37872"
"Foxit PhantomPDF 10","Foxit Software","10.1.12.37872"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1607","Microsoft","10.1.14393.0"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1809","Microsoft","10.1.17763.1"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1803","Microsoft","10.1.17134.1"
"LogMeIn GoToMeeting IT Installer","LogMeIn","10.19.19950"
"LogMeIn GoToMeeting multi-build Installer","LogMeIn","10.19.19950"
"MariaDB Server 10.2","MariaDB Foundation","10.2.44"
"Logitech Options","Logitech","10.24.3"
"Win10Pcap","Daiyuu Nobori, University of Tsukuba, Japan","10.2.5002"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 11","Microsoft","10.1.25398.1"
"Microsoft Windows PE add-on for ADK for Windows 11","Microsoft","10.1.25398.1"
"Microsoft Windows PE add-on for ADK for Windows 11","Microsoft","10.1.26100.2454"
"Evernote","Evernote","10.144.3"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 11","Microsoft","10.1.26100.2454"
"Foxit PhantomPDF Pro 10","Foxit Software","10.1.11.37866"
"Kotobee Author","Vijua","1.9.1"
"Kotobee Reader","Vijua","1.9.0"
"HandBrake","HandBrake Team","1.9.2"
"FastPictureViewer Professional","Axel Rietschin Software Developments","1.95.400.0"
"Dell EMC System Update","Dell, Inc.","1.9.3.0"
"IcedTea-Web","Azul Systems, Inc.","1.8.8"
"Snapform Viewer","Ringler Informatik AG","1.8.7"
"ScaleFT","ScaleFT","1.83.4"
"Raspberry Pi Imager","Raspberry Pi Ltd","1.9.0"
"Tailscale","Tailscale Inc.","1.84.2"
"Microsoft Visual Studio 2010 Tools for Office Runtime","Microsoft","10.0.60917.00"
"Dedoose Desktop App","Dedoose","10.0.35"
"Kerio Connect","GFI Software","10.0.7.8784"
"Moon Modeler","Bizagi Limited","10.1.1"
"XMind 2020","XMind Ltd","10.1.0"
"Meteor Modeler","Ideamerit s.r.o.","10.0.0"
"Galaxy Modeler","Bizagi Limited","10.0.0"
"Mitel miCollab","Mitel Networks Corporation","10.0.105"
"SmartFTP Client","SmartSoft Ltd","10.0.3275.0"
"Dane Prairie Systems Win2PDF","Dane Prairie Systems","10.0.174.4"
"Smartsheet desktop app","Smartsheet Inc.","1.0.52"
"ScreenBeam Conference","ScreenBeam Inc.","1.0.5.10"
"Lenovo Accessories and Display Manager","Lenovo Software","1.0.7.8"
"Lenovo Quick Clean","Lenovo Software","1.02.0051"
"ThinkPad TrackPoint Keyboard II Software","Lenovo Software","1.0.8.6241"
"PaperCut Mobility Print","PaperCut Software Pty Ltd","1.0.3741"
"Pausit Launcher","Pausit AB","1.0.27.0"
"monday","monday.com Ltd","1.0.41.0"
"DataGrip 1.0","JetBrains","1.0.5"
"Microsoft Active Directory Rights Management Service Client","Microsoft","1.0.4114.0"
"Crestron AirMedia Peripheral Installer","Crestron Electronics, Inc.","1.10.1.160"
"ClockAssist","ClockAssist","1.1.9305.21845"
"Morphic","Raising the Floor ? US inc.","1.10.25153.2"
"Microsoft Visual Studio Code","Microsoft","1.101.2"
"Typora","typora.io","1.10.8"
"South River Technologies WebDrive","South River Technologies","1.1.18"
"Screen InStyle","EIZO","1.1.16"
"ImpExpPro","Benthic Software","1.1.22"
"Logitech Camera Settings","Logitech","1.1.87.0"
"Encrypt.me","Cloak Holdings LLC","1.1.3.0"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1803"
"Zeal","Oleg Shparber","0.7.2"
"DevPod","loft","0.6.15"
"Paperpile","Paperpile LLC","0.8.1"
"Putty","Simon Tatham","0.83.0.0"
"PuTTY CAC","Simon Tatham","0.83"
"SideQuest","SideQuest","0.10.42"
"Gephi","Gephi","0.10.1"
"SelfGuide Recorder","PolderValley","0.166.0.0"
"WireGuard","WireGuard LLC","0.5.3"
"NetBird","NetBird GmbH","0.49.0"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1507"
"Anywhere365 Integrator","Anywhere365","1.0.0.1"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1511"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1709"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1703"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0"
"Microsoft PowerToys","Microsoft","0.91.1"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.0"
"Samsung Smart View","Samsung Techwin Co., Ltd","1.0.0.0"
"FreeCAD","FreeCAD","1.0.0"
"VSCodium","VSCodium","1.101.24242"
"GoAnywhere OpenPGP Studio","Fortra, LLC","1.2.3"
"pdfFiller","airSlate, Inc.","1.2.112"
"Synology Evidence Integrity Authenticator","Synology","1.2.3.025"
"AWS Session Manager Plugin","Amazon Web Services","1.2.707.0"
"Logitech Bolt","Logitech","1.2.6024.0"
"Rancher Desktop","SUSE","1.19.3"
"Google Go Programming Language 1.19","Google","1.19.12"
"Mendeley Desktop","Mendeley Ltd","1.19.5"
"MSIX Core","Microsoft","1.2.0.0"
"Remote Ripple","GlavSoft LLC","1.2.0"
"Trimble Connect","Trimble Solutions Corporation","1.25.3.660"
"Microsoft Defender for Endpoint plug-in for WSL","Microsoft","1.24.1121.3"
"VeraCrypt","VeraCrypt","1.26.24"
"SMath Studio","SMath LLC","1.3.0-9126"
"Laserbox basic","Makeblock Co., Ltd","1.3.0"
"Google Go Programming Language 1.21","Google","1.21.13"
"Google Go Programming Language 1.20","Google","1.20.14"
"Google Go Programming Language 1.22","Google","1.22.12"
"Macrobond Viewer","Macrobond","1.23.0.3853"
"Macrobond","Macrobond","1.23.0.3853"
"General Workings Streamlabs OBS","General Workings, Inc.","1.19.0"
"KDiff3","Joachim Eibl","1.12.3"
"OpenWebStart","Karakun","1.12.0"
"PlanGrid","PlanGrid, Inc.","1.125.0.16107"
"TortoiseSVN ipv6","TortoiseSVN","1.14.29387"
"Pexip Infinity Connect","Cloud Video","1.13.2"
"XnSoft XnConvert","XnSoft","1.102.0"
